Time,CPU used, RAM used, VRAM used
Mon Nov 27 02:17:03 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:04 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:05 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:06 2023,0.997506,428765184,4416989193780068353
Mon Nov 27 02:17:07 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:08 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:09 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:10 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:11 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:12 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:13 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:14 2023,0.250000,428765184,4416989193780068353
Mon Nov 27 02:17:15 2023,0.249377,428765184,4416989193780068353
Mon Nov 27 02:17:16 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:17 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:18 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:19 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:20 2023,1.000000,428765184,4416989193780068353
Mon Nov 27 02:17:21 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:22 2023,0.250000,428765184,4416989193780068353
Mon Nov 27 02:17:23 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:24 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:25 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:26 2023,0.498753,428765184,4416989193780068353
Mon Nov 27 02:17:27 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:28 2023,0.249377,428765184,4416989193780068353
Mon Nov 27 02:17:29 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:30 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:31 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:32 2023,0.249377,428765184,4416989193780068353
Mon Nov 27 02:17:33 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:34 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:35 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:36 2023,0.250000,428765184,4416989193780068353
Mon Nov 27 02:17:37 2023,0.249377,428765184,4416989193780068353
Mon Nov 27 02:17:38 2023,0.250000,428765184,4416989193780068353
Mon Nov 27 02:17:39 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:40 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:41 2023,0.250000,428765184,4416989193780068353
Mon Nov 27 02:17:42 2023,0.249377,428765184,4416989193780068353
Mon Nov 27 02:17:43 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:44 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:45 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:46 2023,0.250000,428765184,4416989193780068353
Mon Nov 27 02:17:47 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:48 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:49 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:50 2023,0.751880,428765184,4416989193780068353
Mon Nov 27 02:17:51 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:52 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:53 2023,0.250000,428765184,4416989193780068353
Mon Nov 27 02:17:54 2023,0.249377,428765184,4416989193780068353
Mon Nov 27 02:17:55 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:56 2023,0.000000,428765184,4416989193780068353
Mon Nov 27 02:17:57 2023,0.000000,428765184,4416989193780068353
