epoch,shortterm,midterm,longterm
1708324304.051,0.010742,0.060059,0.026367
1708324305.051,0.009766,0.058594,0.025879
1708324306.051,0.009766,0.058594,0.025879
1708324307.052,0.009766,0.058594,0.025879
1708324308.052,0.009766,0.058594,0.025879
1708324309.052,0.009766,0.058594,0.025879
1708324310.052,0.008789,0.057617,0.025391
1708324311.052,0.008789,0.057617,0.025391
1708324312.053,0.008789,0.057617,0.025391
1708324313.052,0.008789,0.057617,0.025391
1708324314.051,0.008789,0.057617,0.025391
1708324315.053,0.007812,0.056641,0.024902
1708324316.051,0.007812,0.056641,0.024902
1708324317.052,0.007812,0.056641,0.024902
1708324318.051,0.007812,0.056641,0.024902
1708324319.051,0.007812,0.056641,0.024902
1708324320.051,0.006836,0.055664,0.024414
1708324321.051,0.006836,0.055664,0.024414
1708324322.051,0.006836,0.055664,0.024414
1708324323.051,0.006836,0.055664,0.024414
1708324324.052,0.006836,0.055664,0.024414
1708324325.052,0.005859,0.054688,0.023926
1708324326.055,0.005859,0.054688,0.023926
1708324327.051,0.005859,0.054688,0.023926
1708324328.052,0.005859,0.054688,0.023926
1708324329.051,0.005859,0.054688,0.023926
1708324330.052,0.005371,0.053711,0.023438
1708324331.051,0.005371,0.053711,0.023438
1708324332.052,0.005371,0.053711,0.023438
1708324333.051,0.005371,0.053711,0.023438
1708324334.051,0.005371,0.053711,0.023438
1708324335.052,0.004883,0.052734,0.022949
1708324336.052,0.004883,0.052734,0.022949
1708324337.051,0.004883,0.052734,0.022949
1708324338.052,0.004883,0.052734,0.022949
1708324339.051,0.004883,0.052734,0.022949
1708324340.051,0.004395,0.051758,0.022461
1708324341.051,0.004395,0.051758,0.022461
1708324342.051,0.004395,0.051758,0.022461
1708324343.052,0.004395,0.051758,0.022461
1708324344.052,0.004395,0.051758,0.022461
1708324345.052,0.003906,0.050781,0.021973
1708324346.051,0.003906,0.050781,0.021973
1708324347.051,0.003906,0.050781,0.021973
1708324348.051,0.003906,0.050781,0.021973
1708324349.053,0.003906,0.050781,0.021973
1708324350.052,0.003418,0.049805,0.021484
1708324351.053,0.003418,0.049805,0.021484
1708324352.052,0.003418,0.049805,0.021484
1708324353.052,0.003418,0.049805,0.021484
1708324354.051,0.003418,0.049805,0.021484
1708324355.051,0.002930,0.048828,0.020996
1708324356.052,0.002930,0.048828,0.020996
1708324357.051,0.002930,0.048828,0.020996
1708324358.051,0.002930,0.048828,0.020996
1708324359.051,0.002930,0.048828,0.020996
1708324360.052,0.002441,0.047852,0.020508
1708324361.052,0.002441,0.047852,0.020508
1708324362.051,0.002441,0.047852,0.020508
1708324363.051,0.002441,0.047852,0.020508
1708324364.053,0.002441,0.047852,0.020508
1708324365.053,0.001953,0.046875,0.020020
1708324366.052,0.001953,0.046875,0.020020
1708324367.051,0.001953,0.046875,0.020020
1708324368.052,0.001953,0.046875,0.020020
1708324369.051,0.001953,0.046875,0.020020
1708324370.051,0.001465,0.045898,0.019531
1708324371.051,0.001465,0.045898,0.019531
1708324372.051,0.001465,0.045898,0.019531
1708324373.051,0.001465,0.045898,0.019531
1708324374.052,0.001465,0.045898,0.019531
1708324375.051,0.000977,0.044922,0.019043
1708324376.053,0.000977,0.044922,0.019043
1708324377.051,0.000977,0.044922,0.019043
1708324378.052,0.000977,0.044922,0.019043
1708324379.051,0.000977,0.044922,0.019043
1708324380.052,0.000488,0.043945,0.018555
1708324381.052,0.000488,0.043945,0.018555
1708324382.052,0.000488,0.043945,0.018555
1708324383.051,0.000488,0.043945,0.018555
1708324384.052,0.000488,0.043945,0.018555
1708324385.052,0.000000,0.042969,0.018066
1708324386.051,0.000000,0.042969,0.018066
1708324387.053,0.000000,0.042969,0.018066
1708324388.053,0.000000,0.042969,0.018066
1708324389.052,0.000000,0.042969,0.018066
1708324390.052,0.000000,0.041992,0.017578
1708324391.052,0.000000,0.041992,0.017578
1708324392.051,0.000000,0.041992,0.017578
1708324393.051,0.000000,0.041992,0.017578
1708324394.052,0.000000,0.041992,0.017578
1708324395.051,0.000000,0.041016,0.017090
1708324396.052,0.000000,0.041016,0.017090
1708324397.052,0.000000,0.041016,0.017090
1708324398.051,0.000000,0.041016,0.017090
1708324399.052,0.000000,0.041016,0.017090
1708324400.051,0.000000,0.040039,0.016602
1708324401.053,0.000000,0.040039,0.016602
1708324402.051,0.000000,0.040039,0.016602
1708324403.053,0.000000,0.040039,0.016602
1708324404.052,0.000000,0.040039,0.016602
1708324405.054,0.000000,0.039062,0.016113
1708324406.052,0.000000,0.039062,0.016113
1708324407.051,0.000000,0.039062,0.016113
1708324408.051,0.000000,0.039062,0.016113
1708324409.051,0.000000,0.039062,0.016113
1708324410.053,0.000000,0.038086,0.015625
1708324411.052,0.000000,0.038086,0.015625
1708324412.053,0.000000,0.038086,0.015625
1708324413.051,0.000000,0.038086,0.015625
